Kernel,C,Gamma,Degree,Accuracy,Precision,Recall,F1-Score
linear,1.0,N/A,N/A,0.9210526315789473,0.9275184275184275,0.9027777777777778,0.912836632401665
rbf,10.0,0.01,N/A,0.6403508771929824,0.8185840707964602,0.5119047619047619,0.41244500314267757
poly,1.0,scale,3,0.8947368421052632,0.9285714285714286,0.8571428571428572,0.8782051282051282
sigmoid,0.1,auto,N/A,0.631578947368421,0.3157894736842105,0.5,0.3870967741935484
